prime,exponent_in_monster,r_p,weight,status
2,46,0.1103,0.0056,DETECTED
3,20,0.1748,0.0089,DETECTED
5,9,0.2561,0.013,DETECTED
7,6,0.3097,0.0157,DETECTED
11,2,0.3816,0.0193,DETECTED
13,3,0.4082,0.0207,DETECTED
17,1,0.4509,0.0228,DETECTED
19,1,0.4686,0.0237,DETECTED
23,1,0.499,0.0253,DETECTED
29,1,0.5359,0.0271,DETECTED
31,1,0.5465,0.0277,DETECTED
41,1,0.591,0.0299,DETECTED
47,1,0.6128,0.031,DETECTED
59,1,0.649,0.0328,WEAK
71,1,0.6784,0.0343,DETECTED
